randomise_trials,display,Phase,Block,Trial,Audio,Type,Fricative,Step,Percent.SS,Talker,Talker_Construction,Progress1,Progress2,Progress3,Dose,Bias.Joanne,Test,Name,X.Keybind,M.Keybind
,Instructions-Familiarization,,,,,,,,,,,,,,,,,,,
1,Task-Familiarization,Practice,1,1,f1_FW_14_domineering.mp3,Filler,,,,Joanne,f1f1f1,,,,1x,SH,Blocked,# Joanne,,
1,Task-Familiarization,Practice,1,2,f1_FW_18_grammatical.mp3,Filler,,,,Joanne,f1f1f1,,,,1x,SH,Blocked,# Joanne,,
1,Task-Familiarization,Practice,1,3,f1_FW_36_melancholy.mp3,Filler,,,,Joanne,f1f1f1,,,,1x,SH,Blocked,# Joanne,,
1,Task-Familiarization,Practice,1,4,pe_FW_04_armadillo.mp3,Filler,,,,Peter,pepepe,,,,1x,SH,Blocked,# Peter,,
1,Task-Familiarization,Practice,1,5,pe_FW_20_hamburger.mp3,Filler,,,,Peter,pepepe,,,,1x,SH,Blocked,# Peter,,
1,Task-Familiarization,Practice,1,6,pe_FW_56_umbrella.mp3,Filler,,,,Peter,pepepe,,,,1x,SH,Blocked,# Peter,,
,Instructions-Exposure,,,,,,,,,,,,,,,,,,,
2,Task-Exposure,Exposure,1,1,f1f1f1_s_01_Arkansas.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,2,f1f1f1_s_02_coliseum.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,3,f1f1f1_s_03_compensate.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,4,f1f1f1_s_04_democracy.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,5,f1f1f1_s_05_dinosaur.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,6,f1f1f1_s_06_embassy.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,7,f1f1f1_s_07_episode.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,8,f1f1f1_s_08_eraser.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,9,f1f1f1_s_09_hallucinate.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,10,f1f1f1_s_10_legacy.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,11,f1f1f1_s_11_literacy.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,12,f1f1f1_s_12_medicine.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,13,f1f1f1_s_13_obscene.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,14,f1f1f1_s_14_parasite.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,15,f1f1f1_s_15_peninsula.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,16,f1f1f1_s_16_personal.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,17,f1f1f1_s_17_pregnancy.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,18,f1f1f1_s_18_reconcile.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,19,f1f1f1_s_19_rehearsal.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,20,f1f1f1_s_20_Tennessee.mp3,Clear,SS,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,21,f1f1f1_Xsh_01_ambition.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,22,f1f1f1_Xsh_02_beneficial.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,23,f1f1f1_Xsh_03_brochure.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,24,f1f1f1_Xsh_04_commercial.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,25,f1f1f1_Xsh_05_crucial.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,26,f1f1f1_Xsh_06_efficient.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,27,f1f1f1_Xsh_07_flourishing.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,28,f1f1f1_Xsh_08_glacier.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,29,f1f1f1_Xsh_09_graduation.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,30,f1f1f1_Xsh_10_impatient.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,31,f1f1f1_Xsh_11_initial.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,32,f1f1f1_Xsh_12_machinery.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,33,f1f1f1_Xsh_13_negotiate.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,34,f1f1f1_Xsh_14_official.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,35,f1f1f1_Xsh_15_parachute.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,36,f1f1f1_Xsh_16_pediatrician.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,37,f1f1f1_Xsh_17_publisher.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,38,f1f1f1_Xsh_18_reassure.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,39,f1f1f1_Xsh_19_refreshing.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,40,f1f1f1_Xsh_20_vacation.mp3,Ambiguous,SH,,,Joanne,f1f1f1,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,41,pepepe_sh_01_ambition.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,42,pepepe_sh_02_beneficial.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,43,pepepe_sh_03_brochure.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,44,pepepe_sh_04_commercial.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,45,pepepe_sh_05_crucial.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,46,pepepe_sh_06_efficient.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,47,pepepe_sh_07_flourishing.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,48,pepepe_sh_08_glacier.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,49,pepepe_sh_09_graduation.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,50,pepepe_sh_10_impatient.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,51,pepepe_sh_11_initial.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,52,pepepe_sh_12_machinery.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,53,pepepe_sh_13_negotiate.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,54,pepepe_sh_14_official.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,55,pepepe_sh_15_parachute.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,56,pepepe_sh_16_pediatrician.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,57,pepepe_sh_17_publisher.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,58,pepepe_sh_18_reassure.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,59,pepepe_sh_19_refreshing.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,60,pepepe_sh_20_vacation.mp3,Clear,SH,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,61,pepepe_Xs_01_Arkansas.mp3,Ambiguous,SS,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,62,pepepe_Xs_02_coliseum.mp3,Ambiguous,SS,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,63,pepepe_Xs_03_compensate.mp3,Ambiguous,SS,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,64,pepepe_Xs_04_democracy.mp3,Ambiguous,SS,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,65,pepepe_Xs_05_dinosaur.mp3,Ambiguous,SS,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,66,pepepe_Xs_06_embassy.mp3,Ambiguous,SS,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,67,pepepe_Xs_07_episode.mp3,Ambiguous,SS,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,68,pepepe_Xs_08_eraser.mp3,Ambiguous,SS,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,69,pepepe_Xs_09_hallucinate.mp3,Ambiguous,SS,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,70,pepepe_Xs_10_legacy.mp3,Ambiguous,SS,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
2,Task-Exposure,Exposure,1,71,pepepe_Xs_11_literacy.mp3,Ambiguous,SS,,,Peter,pepepe,1,,,1x,SH,Blocked,,,
