Onset	Fricative	Offset	Filename
Onset-sh_Xs_01_Arkansas	Fricative-f1_Xs_01_Arkansas	Offset-sh_Xs_01_Arkansas	shf1sh_Xs_01_Arkansas
Onset-sh_Xs_02_coliseum	Fricative-f1_Xs_02_coliseum	Offset-sh_Xs_02_coliseum	shf1sh_Xs_02_coliseum
Onset-sh_Xs_03_compensate	Fricative-f1_Xs_03_compensate	Offset-sh_Xs_03_compensate	shf1sh_Xs_03_compensate
Onset-sh_Xs_04_democracy	Fricative-f1_Xs_04_democracy	Offset-sh_Xs_04_democracy	shf1sh_Xs_04_democracy
Onset-sh_Xs_05_dinosaur	Fricative-f1_Xs_05_dinosaur	Offset-sh_Xs_05_dinosaur	shf1sh_Xs_05_dinosaur
Onset-sh_Xs_06_embassy	Fricative-f1_Xs_06_embassy	Offset-sh_Xs_06_embassy	shf1sh_Xs_06_embassy
Onset-sh_Xs_07_episode	Fricative-f1_Xs_07_episode	Offset-sh_Xs_07_episode	shf1sh_Xs_07_episode
Onset-sh_Xs_08_eraser	Fricative-f1_Xs_08_eraser	Offset-sh_Xs_08_eraser	shf1sh_Xs_08_eraser
Onset-sh_Xs_09_hallucinate	Fricative-f1_Xs_09_hallucinate	Offset-sh_Xs_09_hallucinate	shf1sh_Xs_09_hallucinate
Onset-sh_Xs_10_legacy	Fricative-f1_Xs_10_legacy	Offset-sh_Xs_10_legacy	shf1sh_Xs_10_legacy
Onset-sh_Xs_11_literacy	Fricative-f1_Xs_11_literacy	Offset-sh_Xs_11_literacy	shf1sh_Xs_11_literacy
Onset-sh_Xs_12_medicine	Fricative-f1_Xs_12_medicine	Offset-sh_Xs_12_medicine	shf1sh_Xs_12_medicine
Onset-sh_Xs_13_obscene	Fricative-f1_Xs_13_obscene	Offset-sh_Xs_13_obscene	shf1sh_Xs_13_obscene
Onset-sh_Xs_14_parasite	Fricative-f1_Xs_14_parasite	Offset-sh_Xs_14_parasite	shf1sh_Xs_14_parasite
Onset-sh_Xs_15_peninsula	Fricative-f1_Xs_15_peninsula	Offset-sh_Xs_15_peninsula	shf1sh_Xs_15_peninsula
Onset-sh_Xs_16_personal	Fricative-f1_Xs_16_personal	Offset-sh_Xs_16_personal	shf1sh_Xs_16_personal
Onset-sh_Xs_17_pregnancy	Fricative-f1_Xs_17_pregnancy	Offset-sh_Xs_17_pregnancy	shf1sh_Xs_17_pregnancy
Onset-sh_Xs_18_reconcile	Fricative-f1_Xs_18_reconcile	Offset-sh_Xs_18_reconcile	shf1sh_Xs_18_reconcile
Onset-sh_Xs_19_rehearsal	Fricative-f1_Xs_19_rehearsal	Offset-sh_Xs_19_rehearsal	shf1sh_Xs_19_rehearsal
Onset-sh_Xs_20_Tennessee	Fricative-f1_Xs_20_Tennessee	Offset-sh_Xs_20_Tennessee	shf1sh_Xs_20_Tennessee
