Onset	Fricative	Offset	Filename
Onset-sh_Xs_01_Arkansas	Fricative-sh_Xs_01_Arkansas	Offset-sh_Xs_01_Arkansas	shshsh_Xs_01_Arkansas
Onset-sh_Xs_02_coliseum	Fricative-sh_Xs_02_coliseum	Offset-sh_Xs_02_coliseum	shshsh_Xs_02_coliseum
Onset-sh_Xs_03_compensate	Fricative-sh_Xs_03_compensate	Offset-sh_Xs_03_compensate	shshsh_Xs_03_compensate
Onset-sh_Xs_04_democracy	Fricative-sh_Xs_04_democracy	Offset-sh_Xs_04_democracy	shshsh_Xs_04_democracy
Onset-sh_Xs_05_dinosaur	Fricative-sh_Xs_05_dinosaur	Offset-sh_Xs_05_dinosaur	shshsh_Xs_05_dinosaur
Onset-sh_Xs_06_embassy	Fricative-sh_Xs_06_embassy	Offset-sh_Xs_06_embassy	shshsh_Xs_06_embassy
Onset-sh_Xs_07_episode	Fricative-sh_Xs_07_episode	Offset-sh_Xs_07_episode	shshsh_Xs_07_episode
Onset-sh_Xs_08_eraser	Fricative-sh_Xs_08_eraser	Offset-sh_Xs_08_eraser	shshsh_Xs_08_eraser
Onset-sh_Xs_09_hallucinate	Fricative-sh_Xs_09_hallucinate	Offset-sh_Xs_09_hallucinate	shshsh_Xs_09_hallucinate
Onset-sh_Xs_10_legacy	Fricative-sh_Xs_10_legacy	Offset-sh_Xs_10_legacy	shshsh_Xs_10_legacy
Onset-sh_Xs_11_literacy	Fricative-sh_Xs_11_literacy	Offset-sh_Xs_11_literacy	shshsh_Xs_11_literacy
Onset-sh_Xs_12_medicine	Fricative-sh_Xs_12_medicine	Offset-sh_Xs_12_medicine	shshsh_Xs_12_medicine
Onset-sh_Xs_13_obscene	Fricative-sh_Xs_13_obscene	Offset-sh_Xs_13_obscene	shshsh_Xs_13_obscene
Onset-sh_Xs_14_parasite	Fricative-sh_Xs_14_parasite	Offset-sh_Xs_14_parasite	shshsh_Xs_14_parasite
Onset-sh_Xs_15_peninsula	Fricative-sh_Xs_15_peninsula	Offset-sh_Xs_15_peninsula	shshsh_Xs_15_peninsula
Onset-sh_Xs_16_personal	Fricative-sh_Xs_16_personal	Offset-sh_Xs_16_personal	shshsh_Xs_16_personal
Onset-sh_Xs_17_pregnancy	Fricative-sh_Xs_17_pregnancy	Offset-sh_Xs_17_pregnancy	shshsh_Xs_17_pregnancy
Onset-sh_Xs_18_reconcile	Fricative-sh_Xs_18_reconcile	Offset-sh_Xs_18_reconcile	shshsh_Xs_18_reconcile
Onset-sh_Xs_19_rehearsal	Fricative-sh_Xs_19_rehearsal	Offset-sh_Xs_19_rehearsal	shshsh_Xs_19_rehearsal
Onset-sh_Xs_20_Tennessee	Fricative-sh_Xs_20_Tennessee	Offset-sh_Xs_20_Tennessee	shshsh_Xs_20_Tennessee
Onset-sh_Xsh_01_ambition	Fricative-sh_Xsh_01_ambition	Offset-sh_Xsh_01_ambition	shshsh_Xsh_01_ambition
